Date : 2025-06-21 22:31:52
Directory : c:\Users\Jervi\Desktop\payment-with-laravel
Total : 140 files,  23239 codes, 932 comments, 1093 blanks, all 25264 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\ConfirmablePasswordController.php           | PHP                |         29 |          6 |          7 |         42 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\EmailVerificationNotificationController.php | PHP                |         16 |          3 |          6 |         25 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\EmailVerificationPromptController.php       | PHP                |         16 |          3 |          4 |         23 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\NewPasswordController.php                   | PHP                |         47 |         14 |          9 |         70 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\PasswordResetLinkController.php             | PHP                |         27 |          8 |          7 |         42 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\RegisteredUserController.php                | PHP                |         35 |          8 |          9 |         52 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Auth\VerifyEmailController.php                   | PHP                |         20 |          4 |          7 |         31 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Controller.php                                   | PHP                |          5 |          1 |          3 |          9 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Settings\PasswordController.php                  | PHP                |         27 |          6 |          7 |         40 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Controllers\Settings\ProfileController.php                   | PHP                |         41 |          9 |         14 |         64 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Middleware\HandleAppearance.php                              | PHP                |         14 |          5 |          5 |         24 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Middleware\HandleInertiaRequests.php                         | PHP                |         31 |         19 |          7 |         57 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Requests\Auth\LoginRequest.php                               | PHP                |         51 |         21 |         14 |         86 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Http\Requests\Settings\ProfileUpdateRequest.php                   | PHP                |         23 |          5 |          5 |         33 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Models\User.php                                                   | PHP                |         25 |         17 |          7 |         49 |
| c:\Users\Jervi\Desktop\payment-with-laravel\app\Providers\AppServiceProvider.php                                  | PHP                |         12 |          8 |          5 |         25 |
| c:\Users\Jervi\Desktop\payment-with-laravel\bootstrap\app.php                                                     | PHP                |         23 |          1 |          4 |         28 |
| c:\Users\Jervi\Desktop\payment-with-laravel\bootstrap\providers.php                                               | PHP                |          4 |          0 |          2 |          6 |
| c:\Users\Jervi\Desktop\payment-with-laravel\components.json                                                       | JSON               |         21 |          0 |          1 |         22 |
| c:\Users\Jervi\Desktop\payment-with-laravel\composer.json                                                         | JSON               |         86 |          0 |          0 |         86 |
